5F25;Application Effective Date;Date from which the application may be used. The date is expressed in the YYMMDD format. For MasterCard branded applications if the value of YY ranges from '00' to '49' the date reads 20YYMMDD. If the value of YY ranges from '50' to '99', the date reads 19YYMMDD.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
5F25;Application Effective Date;Date from which the application may be used. The date is expressed in the YYMMDD format.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
5F25;Application Effective Date;Date from which the application may be used. The date is expressed in the YYMMDD format.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
5F28;Issuer Country Code;Indicates the country of the issuer according to ISO 3166-1;Card;n 3;'70' or '77';2;2;primitive;
5F28;Issuer Country Code;Indicates the country of the issuer according to ISO 3166-1;Card;n 3;'70' or '77';2;2;primitive;
5F28;Issuer Country Code;Indicates the country of the issuer according to ISO 3166-1;Card;n 3;'70' or '77';2;2;primitive;
5F28;Issuer Country Code;Indicates the country of the issuer according to ISO 3166-1;Card;n 3;'70' or '77';2;2;primitive;
5F2A;Transaction Currency Code;Indicates the currency code of the transaction according to ISO 4217;Terminal;n 3;;2;2;primitive;978
5F2A;Transaction Currency Code;Indicates the currency code of the transaction according to ISO 4217;Terminal;n 3;;2;2;primitive;978
5F2A;Transaction Currency Code;Indicates the currency code of the transaction according to [ISO 4217]. The implied exponent is indicated by the minor unit of currency associated with the Transaction Currency Code in [ISO 4217].;Terminal;n 3;;2;2;primitive;978
5F2A;Transaction Currency Code;Indicates the currency code of the transaction according to [ISO 4217];Terminal;n 3;;2;2;primitive;978
5F2A;Transaction Currency Code;Indicates the currency code of the transaction according to ISO 4217. Requested in CDOL1.;Configuration (POS);n 3;;2;2;primitive;978
5F2D;Language Preference;1-4 languages stored in order of preference, each represented by 2 alphabetical characters according to ISO 639;Card;an 2;'A5';2;8;primitive;
;;Note: EMVCo strongly recommends that cards be personalised with data element '5F2D' coded in lowercase, but that terminals accept the data element whether it is coded in upper or lower case.;;;;;;;
5F2D;Language Preference;1-4 languages stored in order of preference, each represented by 2 lower case alphabetical characters according to ISO 639-1.;Card;an 2;'A5';2;8;primitive;
5F2D;Language Preference;1-4 languages stored in order of preference, each represented by 2 lower case alphabetical characters according to ISO 639-1.;Card;an 2;'A5';2;8;primitive;
5F30;Service Code;Service code as defined in ISO/IEC 7813 for Track 1 and Track 2;Card;n 3;'70' or '77';2;2;primitive;
5F30;Service Code;Contains the Service Code elements.;Card;n 3;'70' or '77';2;2;primitive;
5F34;Application Primary Account Number (PAN) Sequence Number (PSN);Identifies and differentiates cards with the same Application PAN;Card;n 2;'70' or '77';1;1;primitive;
5F34;Application Primary Account Number (PAN) Sequence Number (PSN);Identifies and differentiates cards with the same PAN;Card;n 2;'70' or '77';1;1;primitive;
5F34;Application Primary Account Number (PAN) Sequence Number (PSN);Identifies and differentiates cards with the same PAN;Card;n 2;'70' or '77';1;1;primitive;
5F34;Application Primary Account Number (PAN) Sequence Number (PSN);Identifies and differentiates cards (applications) with the same PAN;Card;n 2;'70' or '77';1;1;primitive;
5F34;Application Primary Account Number (PAN) Sequence Number (PSN);Identifies and differentiates cards (applications) with the same PAN;Card;n 2;'70' or '77';1;1;primitive;
5F36;Transaction Currency Exponent;Identifies the decimal point position from the right of the transaction amount accordin to ISO 4217;Terminal;n 1;;1;1;primitive;
5F36;Transaction Currency Exponent;Indicates the implied position of the decimal point from the right of the transaction amount represented according to ISO 4217. Required to determine if Status Check is requested.;Configuration (POS);n 1;;1;1;primitive;
5F3C;Transaction Reference Currency Code;Identifies the common currency used by the terminal;Terminal;binary 2;;1;1;;
5F3D;Transaction Reference Currency Exponent;Identifies the decimal point position from the right of the terminal common currency;Terminal;n 1;;1;1;;
5F50;Issuer URL;The URL provides the location of the Issuer's Library Server on the Internet.;Card;ans;'BF0C' or '73';var.;var.;primitive;
5F53;International Bank Account Number (IBAN);Uniquely identifies the account of a customer at a financial institution as defined in ISO 13616.;Card;variable;'BF0C' or '73';0;34;primitive;
5F54;Bank Identifier Code (BIC);Uniquely identifies a bank as defined in ISO 9362.;Card;variable;'BF0C' or '73';8 or 11;8 or 11;primitive;
5F55;Issuer Country Code (alpha2 format);Indicates the country of the issuer as defined in ISO 3166 (using a 2 character alphabetic code);Card;a 2;'BF0C' or '73';2;2;primitive;
5F56;Issuer Country Code (alpha3 format);Indicates the country of the issuer as defined in ISO 3166 (using a 3 character alphabetic code);Card;a 3;'BF0C' or '73';3;3;primitive;
5F57;Account Type;Indicates the type of account selected on the terminal, coded as specified in Annex G;Terminal;n 2;;1;1;;
61;Application Template;Template containing one or more data objects relevant to an application directory entry according to [ISO 7816-5].;Card;binary;'70';var. up to 252;var. up to 252;constructed;
61;Directory Entry;Contains one or more data objects relevant to an application directory entry according to [ISO 7816-5].;Card;variable;;var.;var.;;
62;File Control Parameters (FCP) Template;Identifies the FCP template according to ISO/IEC 7816-4;Card;variable;;var. up to 252;var. up to 252;constructed;
6F;File Control Information (FCI) Template;Identifies the FCI template according to ISO/IEC 7816-4;Card;variable;;0;252;constructed;
6F;File Control Information (FCI) Template;Identifies the FCI template according to ISO/IEC 7816-4;Card;variable;;0;252;constructed;
6F;File Control Information (FCI) Template;Identifies the FCI template according to ISO/IEC 7816-4;Card;variable;;0;252;constructed;
70;READ RECORD Response Message Template;Template containing the data objects returned by the Card in response to a READ RECORD command. Contains the contents of the record read. (Mandatory for SFIs 1-10. Response messages for SFIs 11-30 are outside the scope of EMV, but may use template '70');Card;variable;;0;255;constructed;
70;READ RECORD Response Message Template;Contains the contents of the record read. (Mandatory for SFIs 1-10. Response messages for SFIs 11-30 are outside the scope of EMV, but may use template '70');Card;variable;;var. up to 252;var. up to 252;constructed;
71;Issuer Script Template 1;Contains proprietary issuer data for transmission to the ICC before the second GENERATE AC command;Issuer;binary;;var.;var.;constructed;
71;Issuer Script Template 1;Contains proprietary issuer data for transmission to the ICC before the second GENERATE AC command;Issuer;binary;;var. up to 128;var. up to 128;constructed;
72;Issuer Script Template 2;Contains proprietary issuer data for transmission to the ICC after the second GENERATE AC command;Issuer;binary;;var.;var.;constructed;
72;Issuer Script Template 2;Contains proprietary issuer data for transmission to the ICC after the second GENERATE AC command;Issuer;binary;;var. up to 128;var. up to 128;constructed;
73;Directory Discretionary Template;Issuer discretionary part of the directory according to ISO/IEC 7816-5;Card;variable;'61';0;252;constructed;
77;Response Message Template Format 2;Contains the data objects (with tags and lengths) returned by the ICC in response to a command;Card;variable;;var.;var.;constructed;
77;Response Message Template Format 2;Contains the data objects (with tags and lengths) returned by the card in response to a command.;Card;variable;;var.;var.;constructed;
77;Response Message Template Format 2;Contains the data objects (with tags and lengths) returned by the ICC in response to a command;Card;variable;;var.;var.;constructed;
80;Response Message Template Format 1;Contains the data objects (without tags and lengths) returned by the ICC in response to a command;Card;variable;;var.;var.;primitive;
80;Response Message Template Format 1;Contains the data objects (without tags and lengths) returned by the card in response to a command.;Card;variable;;var.;var.;primitive;
80;Response Message Template Format 1;Contains the data objects (without tags and lengths) returned by the ICC in response to a command;Card;variable;;var.;var.;primitive;
81;Amount, Authorised (Binary);Authorised amount of the transaction (excluding adjustments);Terminal;binary;;4;4;primitive;10000
82;Application Interchange Profile (AIP);Indicates the capabilities of the card to support specific functions in the application;Card;binary;'77' or '80';2;2;primitive;
82;Application Interchange Profile (AIP);Indicates the capabilities of the card to support specific functions in the application;Card;binary;'77' or '80';2;2;primitive;
82;Application Interchange Profile (AIP);Indicates the capabilities of the card to support specific functions in the application. Kernel 3 shall not act on AIP bit settings that are not supported for Kernel 3 or that are Reserved for Future Use (RFU).;Card;binary 16;'77' or '80';2;2;primitive;
82;Application Interchange Profile (AIP);Indicates the capabilities of the card to support specific functions in the application.;Card;binary 16;'77' or '80';2;2;primitive;
82;Application Interchange Profile (AIP);Indicates the capabilities of the card to support specific functions in the application.;Card;binary;'77' or '80';2;2;primitive;
83;Command Template;Identifies the data field of a command message;Terminal;binary;;var.;var.;primitive;
84;Dedicated File (DF) Name;Identifies the name of the DF as described in ISO/IEC 7816-4;Card;binary;'6F';5;16;primitive;
84;Dedicated File (DF) Name;Identifies the name of the DF as described in ISO/IEC 7816-4;Card;binary 40-128;;5;16;primitive;
84;Dedicated File (DF) Name;Identifies the name of the DF as described in ISO/IEC 7816-4;Card;binary;;5;16;primitive;
86;Issuer Script Command;Contains a command for transmission to the ICC;Issuer;binary;'71' or '72';var. up to 125;var. up to 125;primitive;
87;Application Priority Indicator;Indicates the priority of a given application or group of applications in a directory;Card;binary;'61' or 'A5';1;1;primitive;
87;Application Priority Indicator;Indicates the priority of a given application or group of applications in a directory;Card;binary 8;'61' or 'A5';1;1;primitive;
87;Application Priority Indicator;Indicates the priority of a given application or group of applications in a directory;Card;binary 8;'61' or 'A5';1;1;primitive;
87;Application Priority Indicator;Indicates the priority of a given application or group of applications in a directory;Card;binary;'61' or 'A5';1;1;primitive;
88;Short File Identifier (SFI);Identifies the AEF referenced in commands related to a given ADF or DDF. It is a binary data object having a value in the range 1 to 30 and with the three high order bits set to zero.;Card;binary;'A5';1;1;primitive;
88;Short File Identifier (SFI);Identifies the SFI to be used in the commands related to a given AEF.;Card;binary 8;'A5';1;1;primitive;
89;Authorisation Code;Nonzero value generated by the issuer for an approved transaction.;Issuer;ans 6 (special characters limited to spaces);;6;6;primitive;
89;Authorisation Code;Non-zero value generated by the Authorisation Systems for an approved transaction.;Issuer;an 6;;6;6;primitive;
8A;Authorisation Response Code (ARC);Indicates the transaction disposition of the transaction received from the issuer for online authorisations.;Issuer/Terminal;an 2;;2;2;primitive;
8A;Authorisation Response Code (ARC);Data element generated by the Issuer Host System or the Reader indicating the disposition of the transaction.;Issuer/Terminal;an 2;;2;2;primitive;
8A;Authorisation Response Code (ARC);Code that defines the disposition of a message. ARC must be present if the Kernel is restarted after an Online Request Outcome.;Issuer;an 2;;2;2;primitive;
8C;Card Risk Management Data Object List 1 (CDOL1);List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command;Card;binary;'70' or '77';0;252;primitive;
8C;Card Risk Management Data Object List 1 (CDOL1);List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command;Card;binary;'70' or '77';var. up to 64;var. up to 64;primitive;
8C;Card Risk Management Data Object List 1 (CDOL1);List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command;Card;binary;'70' or '77';var. up to 252;var. up to 252;primitive;
8D;Card Risk Management Data Object List 2 (CDOL2);List of data objects (tag and length) to be passed to the ICC in the second GENERATE AC command;Card;binary;'70' or '77';var. up to 64;var. up to 64;primitive;
8D;Card Risk Management Data Object List 2 (CDOL2);List of data objects (tag and length) to be passed to the ICC in the second GENERATE AC command;Card;binary;'70' or '77';var. up to 252;var. up to 252;primitive;
8E;Cardholder Verification Method (CVM) List;Identifies a method of verification of the cardholder supported by the application;Card;binary;'70' or '77';10;252;primitive;
8E;Cardholder Verification Method (CVM) List;Identifies a prioritised list of methods of verification of the cardholder supported by the card application.;Card;binary;'70' or '77';var. up to 32;var. up to 32;primitive;
8E;Cardholder Verification Method (CVM) List;Identifies a prioritised list of methods of verification of the cardholder supported by the card application.;Card;binary;'70' or '77';var. up to 252;var. up to 252;primitive;
8F;Certification Authority Public Key Index (PKI);Identifies the certification authority's public key in conjunction with the RID;Card;binary;'70' or '77';1;1;primitive;
8F;Certification Authority Public Key Index (PKI);Identifies the Certificate Authority's public key in conjunction with the RID for use in offline data authentication.;Card;binary 8;;1;1;primitive;
8F;Certification Authority Public Key Index (PKI);Identifies the Certificate Authority's public key in conjunction with the RID for use in static data authentication.;Card;binary 8;;1;1;primitive;
8F;Certification Authority Public Key Index (PKI);Identifies the certification authority's public key in conjunction with the RID. Required for EMV Mode.;Card;binary;;1;1;primitive;
90;Issuer Public Key Certificate;Issuer public key certified by a certification authority;Card;binary;'70' or '77';var. (NCA);var. (NCA);primitive;
90;Issuer Public Key Certificate;Issuer's public key certified by a certificate authority for use in offline data authentication.;Card;binary;'70' or '77';var. (NCA);var. (NCA);primitive;
90;Issuer Public Key Certificate;Issuer's public key certified by a certificate authority for use in static data authentication.;Card;binary 512-1984;'70' or '77';var. 64-248;var. 64-248;primitive;
90;Issuer Public Key Certificate;Issuer public key certified by a certification authority;Card;binary;'70' or '77';var. (NCA);var. (NCA);primitive;
91;Issuer Authentication Data;Data sent to the ICC for online Issuer Authentication;Issuer;binary 64-128;;8;16;primitive;
91;Issuer Authentication Data;Issuer data transmitted to card for online Issuer authentication.;Issuer;binary 64-128;;var. up to 16;var. up to 16;primitive;
91;Issuer Authentication Data;Data sent to the ICC for online Issuer Authentication;Issuer;binary;;8;16;primitive;
92;Issuer Public Key Remainder;Remaining digits of the Issuer Public Key Modulus;Card;binary;'70' or '77';var. (NI - NCA + 36);var. (NI - NCA + 36);primitive;
92;Issuer Public Key Remainder;Portion of the Issuer Public Key Modulus which does not fit into the Issuer PK Certificate.;Card;binary;'70' or '77';var. (NI - NCA + 36);var. (NI - NCA + 36);primitive;
92;Issuer Public Key Remainder;Remaining digits of the Issuer's public key to be hashed.;Card;binary;'70' or '77';var.;var.;primitive;
92;Issuer Public Key Remainder;Remaining digits of the Issuer Public Key Modulus;Card;binary;'70' or '77';var. (NI - NCA + 36);var. (NI - NCA + 36);primitive;
93;Signed Application Data;Digital signature on critical application parameters that is used in static data authentication (SDA).;Card;binary 512-1984;'70' or '77';64;248;primitive;
94;Application File Locator (AFL);Indicates the location (SFI range of records) of the Application Elementary Files associated with a particular AID, and read by the Kernel during a transaction.;Card;"binary, var.; multiple of 4 between 4 and 252";'77' or '80';4;252;primitive;
94;Application File Locator (AFL);Indicates the location (SFI, range of records) of the AEFs related to a given application.;Card;binary;'77' or '80';4;252;primitive;
94;Application File Locator (AFL);Indicates the location (SFI, range of records) of the AEFs related to a given application.;Card;variable;'77' or '80';var. up to 64;var. up to 64;primitive;
94;Application File Locator (AFL);Indicates the location (SFI, range of records) of the AEFs related to a given application.;Card;variable;'77' or '80';var. up to 252;var. up to 252;primitive;
95;Terminal Verification Results (TVR);Status of the different functions as seen from the terminal;Terminal;;;6;6;;Always '00 00 00 00 00'
95;Terminal Verification Results (TVR);Status of the different functions from the Terminal perspective. The Terminal Verification Results is coded according to Annex C.5 of [EMV Book 3].;Terminal;binary;;5;5;primitive;
95;Terminal Verification Results (TVR);Status of the different functions as seen from the reader/terminal. For EMV mode transactions, all of the TVR bits sent online to the acquirer shall be set to 0b.;Terminal;binary 40;;5;5;;
95;Terminal Verification Results (TVR);Status of the different functions as seen from the terminal.;Terminal;binary 40;;5;5;;
95;Terminal Verification Results (TVR);Status of the different functions as seen from the terminal.;Kernel 5;binary;;5;5;;
97;Transaction Certificate Data Object List (TDOL);List of data objects (tag and length) to be used by the terminal in generating the TC Hash Value;Card;binary;'70' or '77';0;252;primitive;
98;Transaction Certificate (TC) Hash Value;Result of a hash function specified in Book 2, Annex B3.1;Terminal;binary;;20;20;primitive;
99;Transaction Personal Identification Number (PIN) Data;Data entered by the cardholder for the purpose of the PIN verification;Terminal;binary;;var.;var.;primitive;
9A;Transaction Date;Local date that the transaction was authorised;Terminal;n 6 (YYMMDD);;3;3;primitive;
9A;Transaction Date;Local date that the transaction was performed.;Terminal;n 6 (YYMMDD);;3;3;primitive;
9A;Transaction Date;Local date that the transaction was authorised;Terminal;n 6 (YYMMDD);;3;3;primitive;
9A;Transaction Date;Local date that the transaction was authorised;Terminal;n 6 (YYMMDD);;3;3;primitive;
9A;Transaction Date;Local date that the transaction was authorised. Requested in CDOL1.;POS;n 6 (YYMMDD);;3;3;primitive;
9B;Transaction Status Information;Indicates the functions performed in a transaction;Terminal;binary;;2;2;primitive;
9C;Transaction Type;Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1987 Processing Code. The actual values to be used for the Transaction Type data element are defined by the relevant payment system;Terminal;n 2;;1;1;primitive;Always '00'
9C;Transaction Type;Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1993 Processing Code. The actual values to be used for the Transaction Type data element are defined by the relevant payment system.;Terminal;n 2;;1;1;primitive;
9C;Transaction Type;Indicates the type of transaction, represented by the values of the first two digits of Processing Code as defined by the payment system.;Terminal;n 2;;1;1;primitive;
9C;Transaction Type;Indicates the type of transaction, represented by the values of the first two digits of Processing Code as defined by the payment system.;Terminal/Reader;n 2;;1;1;primitive;
9C;Transaction Type;Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1987 Processing Code. Requested in CDOL1. Possible values are:;POS;n 2;;1;1;primitive;
;;- '00' for a purchase transaction;;;;;;;
;;- '01' for a cash advance transaction;;;;;;;
;;- '09' for a purchase with cashback;;;;;;;
;;- '20' for a refund transaction;;;;;;;
9D;Directory Definition File (DDF) Name;Identifies the name of a DF associated with a directory;Card;binary;'61';5;16;primitive;
9F01;Acquirer Identifier;Uniquely identifies the acquirer within each payment system;Terminal;n 6-11;;6;11;primitive;
9F01;Acquirer Identifier;Uniquely identifies the acquirer within each payment system;Terminal;n 6-11;;6;6;primitive;
9F02;Amount, Authorised (Numeric);Authorised amount of the transaction (excluding adjustments);Terminal;n 12;;6;6;primitive;10000
9F02;Amount, Authorised (Numeric);Authorised amount of the transaction (excluding adjustments). This amount is expressed with implicit decimal point corresponding to the minor unit of currency as defined by [ISO 4217] (for example the six bytes '00 00 00 00 01 23' represent USD 1.23 when the currency code is '840'). If the initial transaction amount needs to be replaced with a revised transaction amount, the Terminal must provide it before the chokepoint.;Terminal;n 12;;6;6;primitive;10000
9F02;Amount, Authorised (Numeric);Authorised amount of the transaction (including Amount, Other and excluding adjustments).;Terminal;n 12;;6;6;primitive;10000
9F02;Amount, Authorised (Numeric);Authorised amount of the transaction (excluding adjustments).;Terminal;n 12;;6;6;primitive;10000
9F02;Amount, Authorised (Numeric);Authorised amount of the transaction. Requested in CDOL1.;Terminal;n 12;;6;6;primitive;10000
9F03;Amount, Other (Numeric);Secondary amount associated with the transaction representing a cashback amount;Terminal;n 12;;6;6;primitive;Always '00 00 00 00 00 00'
9F03;Amount, Other (Numeric);Secondary amount associated with the transaction representing a cash back amount. This amount is expressed with implicit decimal point corresponding to the minor unit of currency as defined by [ISO 4217] (for example the 6 bytes '00 00 00 00 01 23' represent GBP 1.23 when the currency code is '826').;Terminal;n 12;;6;6;primitive;
9F03;Amount, Other (Numeric);Secondary amount associated with the transaction representing a cashback amount.;Terminal;n 12;;6;6;primitive;
9F03;Amount, Other (Numeric);Secondary amount associated with the transaction representing a cashback amount.;Terminal;n 12;;6;6;primitive;
9F03;Amount, Other (Numeric);Secondary amount associated with the transaction representing a cashback amount. Requested in CDOL1.;Terminal;n 12;;6;6;primitive;
9F04;Amount, Other (Binary);Secondary amount associated with the transaction representing a cashback amount;Terminal;binary;;4;4;primitive;
9F05;Application Discretionary Data;Issuer or payment system specified data relating to the application;Card;binary;'70' or '77';1;32;primitive;
9F06;Application Identifier (AID) - terminal;Identifies the application as described in ISO/IEC 7816-5;Terminal;binary;;5;16;primitive;
9F06;Application Identifier (AID);Identifies the application as described in ISO/IEC 7816-5;Terminal;binary 40-128;;5;16;primitive;
9F07;Application Usage Control (AUC);Indicates issuer's specified restrictions on the geographic usage and services allowed for the application;Card;binary;'70' or '77';2;2;primitive;
9F07;Application Usage Control (AUC);Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.;Card;binary 16;;2;2;primitive;
9F07;Application Usage Control (AUC);Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.;Card;binary 16;;2;2;primitive;
9F07;Application Usage Control (AUC);Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.;Card;binary;;2;2;primitive;
9F08;Application Version Number;Version number assigned by the payment system for the application in the Card;Card;binary;'70' or '77';2;2;primitive;
9F08;Application Version Number;Version number assigned by the Issuer for the application in the Card;Card;binary 16;'70' or '77';2;2;primitive;
9F09;Application Version Number;Version number assigned by the payment system for the Kernel application;Terminal;binary;;2;2;primitive;
9F0B;Cardholder Name Extended;Indicates the whole cardholder name when greater than 26 characters using the same coding convention as in ISO 7813;Card;ans 27-45;'70' or '77';27;45;primitive;
9F0D;Issuer Action Code - Default;Specifies the issuer's conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online;Card;binary;'70' or '77';5;5;primitive;
9F0D;Issuer Action Code - Default;Specifies conditions that cause a transaction to be declined if it might have been approved online, but the Reader is unable to process the transaction online.;Card;binary 40;'70' or '77';5;5;primitive;
9F0D;Issuer Action Code - Default;Specifies the issuer's conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online;Card;binary;'70' or '77';5;5;primitive;
9F0E;Issuer Action Code - Denial;Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online;Card;binary;'70' or '77';5;5;primitive;
9F0E;Issuer Action Code - Denial;Specifies conditions that cause the decline of a transaction without attempting to go online.;Card;binary 40;'70' or '77';5;5;primitive;
9F0E;Issuer Action Code - Denial;Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online;Card;binary;'70' or '77';5;5;primitive;
9F0F;Issuer Action Code - Online;Specifies the issuer's conditions that cause a transaction to be transmitted online;Card;binary;'70' or '77';5;5;primitive;
9F0F;Issuer Action Code - Online;Specifies conditions that cause a transaction to be transmitted online.;Card;binary 40;'70' or '77';5;5;primitive;
9F0F;Issuer Action Code - Online;Specifies the issuer's conditions that cause a transaction to be transmitted online;Card;binary;'70' or '77';5;5;primitive;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the issuer in an online transaction. ;Card;binary;'77' or '80';0;32;primitive;
;;Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application.;;;;;;;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the issuer in an online transaction. ;Card;binary;'77' or '80';0;32;primitive;
;;Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application.;;;;;;;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the Issuer in an online transaction.;Card;binary;'77' or '80';0;32;primitive;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the Issuer in all transaction messages.;Card;binary;'77' or '80';var. 32;var. 32;primitive;
9F10;Issuer Application Data (IAD);Contains proprietary application data for transmission to the Issuer in an online transaction.;Card;binary;'77' or '80';var. up to 32;var. up to 32;primitive;
9F11;Issuer Code Table Index;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name;Card;n 2;'A5';1;1;primitive;
9F11;Issuer Code Table Index;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name;Card;n 2;'A5';1;1;primitive;
9F11;Issuer Code Table Index;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name;Card;n 2;'A5';1;1;primitive;
9F12;Application Preferred Name;Preferred mnemonic associated with the AID;Card;ans;'61' or 'A5';1;16;primitive;
